frame,time,id,class,center_x,center_y,speed_kmh,center_y_inverted,delta_x,delta_y,theta,delta_theta,cum_delta_theta,windowed_delta_theta,turn_label,distance_moved,distance_moved_meters,overall_turn_label
2611,90.03448275862068,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2641,91.06896551724138,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2671,92.10344827586206,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2701,93.13793103448276,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2731,94.17241379310344,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2761,95.20689655172414,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2791,96.24137931034484,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2821,97.27586206896552,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2851,98.3103448275862,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2881,99.34482758620688,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2911,100.3793103448276,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2941,101.41379310344828,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
2971,102.44827586206895,3,car,243,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
3001,103.48275862068964,3,car,244,261,0.5536363636363636,-261,1.0,0.0,0.0,0.0,0.0,0.0,straight,1.0,0.18421052631578946,straight
3031,104.51724137931036,3,car,244,261,0.3875454545454545,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
3061,105.55172413793105,3,car,244,261,0.3875454545454545,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
3091,106.58620689655172,3,car,244,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
3121,107.6206896551724,3,car,244,261,0.0,-261,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
3151,108.65517241379312,3,car,244,260,0.0553636363636363,-260,0.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,straight,1.0,0.18421052631578946,straight
3181,109.6896551724138,3,car,244,260,0.4429090909090908,-260,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
3211,110.72413793103448,3,car,244,260,0.0553636363636363,-260,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,straight
3241,111.75862068965516,3,car,244,261,0.737095315989247,-261,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,straight
3271,112.79310344827586,3,car,243,261,0.4429090909090908,-261,-1.0,0.0,3.141592653589793,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
3301,113.82758620689656,3,car,243,260,0.3321818181818181,-260,0.0,1.0,1.5707963267948966,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
3331,114.86206896551724,3,car,243,260,0.6034356742178639,-260,0.0,0.0,0.0,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,0.0,0.0,straight
